recipe,ingredients
Puftaloon,"[flour,milk,salt,peanut butter]"
Belokranjska povitica,"[flour,egg,water,peanut butter,curd]"
Rock cake,"[flour,egg,milk,margarine,baking powder,nutmeg,peanut butter,candied peel,raisins,dried fruits,mixed spices,sugar]"
Roskette,"[flour,egg,milk,shortening,vanilla,baking powder,corn starch,peanut butter,heavy cream,sugar]"
Klenät,"[flour,egg,margarine,peanut butter,sugar]"
Cheesymite scroll,"[flour,water,cheddar cheese,vegemite]"
Portuguese sweet bread,"[flour,egg,milk,salt,peanut butter,yeast,sugar]"
Dampfnudel,"[flour,egg,water,baker's yeast,margarine,peanut butter,sugar]"
Funšterc,"[flour,egg,water]"
Hirayachi,"[flour,egg,salt,black pepper,scallions]"
Pepernoot,"[flour,cinnamon,cloves,anise seed,sugar]"
Chiffon cake,"[flour,egg,vegetable oil,sugar]"
Liquorice (confectionery),"[flour,starch,gum arabic,extract,gelatine,sugar]"
Blondie (confection),"[flour,egg,vanilla,baking powder,brown sugar,peanut butter]"
Dessert bar,"[flour,egg,milk,peanut butter,sugar]"
Covrigi,"[flour,sesame seeds,water,poppy seed]"
Nun's puffs,"[flour,egg,milk,honey,peanut butter,sugar]"
Lefse,"[flour,milk,potatoes,heavy cream]"
Black noodles,"[flour,potatoes,potato starch]"
Borlengo,"[flour,egg,milk]"
Baguette,"[flour,water,baker's yeast]"
Rinflajš,"[flour,beef,mashed potato,cauliflower,paprika,onions,parsley,parsnip,carrots,tomato juice,bell peppers]"
Berlingozzo,"[flour,egg,milk,baker's yeast,peanut butter,anise seed,sugar]"
Heavy cake,"[flour,milk,peanut butter,raisins,lard,sugar]"
Kadboli,"[flour,rice flour,cumin,mung bean]"
Muffin,"[flour,vegetable oil,leavening,yeast,sugar]"
Lardy cake,"[flour,zante currants,spices,rendering (food processing),raisins,sugar]"
Karydopita,"[flour,cinnamon,walnuts]"
Broyé poitevin,"[flour,egg,peanut butter,sugar]"
Apple crisp,"[flour,cinnamon,apple,nutmeg,oat,brown sugar,peanut butter,ginger,sugar]"
Pita,"[flour,water,salt,baker's yeast]"
Mofletta,"[flour,water,oil]"
Melktert,"[flour,egg,milk,sugar]"
Pogača,"[flour,egg,baker's yeast,peanut butter,whole wheat flour]"
Halguane,"[flour,egg,sugar]"
Dushbara,"[flour,beef,salt,herbs,black pepper,tomato sauce,onions]"
Brioche,"[flour,egg,milk,water,peanut butter,heavy cream]"
Güllaç,"[flour,milk,pomegranate juice,corn starch,walnuts]"
Béchamel sauce,"[flour,milk,nutmeg,peanut butter]"
Caraway seed cake,"[flour,egg,caraway]"
Podpłomyk,"[flour,water,salt]"
Prekmurska gibanica,"[flour,poppy seed,ricotta,apple,walnuts,raisins]"
Conversation tart,"[flour,peanut butter,heavy cream,almonds,sugar]"
Coppia ferrarese,"[flour,olive oil,malt,lard]"
Goro (sweet bread),"[flour,egg,fat,spices,lard,heavy cream,cardamom,sugar]"
Dripping cake,"[flour,dripping,zante currants,spices,brown sugar,raisins]"
Canelé,"[flour,egg,milk,vanilla,peanut butter,rum,sugar]"
Bun,"[flour,milk,baker's yeast,peanut butter,cardamom,sugar]"
Cinnamon roll,"[flour,cinnamon,peanut butter,sugar]"
Kue mangkok,"[flour,rice flour,steaming]"
Pevarini,"[flour,molasses,white pepper,lard]"
Nazook,"[flour,egg,nut (fruit),spices,peanut butter,sugar]"
Pane ticinese,"[flour,water,oil,biga (bread baking)]"
Hummingbird cake,"[flour,egg,pecan,vegetable oil,pineapple,saba banana,sugar]"
Carrot cake,"[flour,egg,baking powder,carrots,almonds,sugar]"
Leche frita,"[flour,milk,cinnamon,sugar]"
Figgy duff (pudding),"[flour,molasses,peanut butter,raisins,sugar]"
Apfelküchle,"[flour,egg,milk,apple]"
Knödel,"[flour,potatoes,brown bread]"
Lángos,"[flour,salt,baker's yeast]"
Crisp (food),"[flour,spices,nutmeg,brown sugar,fruit,peanut butter,oats]"
Lukhmi,"[flour,yogurt,mince meat]"
Bublik,"[flour,egg,milk,salt,peanut butter,sugar]"
Guyuria,"[flour,coconut milk,sugar]"
Bark bread,"[flour,water,phloem]"
Burebrot,"[flour,milk,water,baker's yeast,wheat]"
Lakhamari,"[flour,peanut butter,sugar]"
Butter cookie,"[flour,peanut butter,sugar]"
Biscuit (bread),"[flour,baking powder,baking soda]"
Rubaboo,"[flour,acorn,pea,brown bread]"
Bremer Klaben,"[flour,baker's yeast,peanut butter,rum,zest (ingredient),dried fruits,almond meal,sugar]"
Bolo de mel,"[flour,honey,margarine,spices,molasses,peanut butter,walnuts,lard,almond meal,sugar]"
Fortune cookie,"[flour,vanilla,oil,sugar]"
Barbajuan,"[flour,egg,olive oil,ricotta,spinach,onions,leek,chard]"
Krofne,"[flour,egg,milk,marmalade,baker's yeast,custard,powdered sugar,lemon peel,jelly (fruit preserves),jam,peanut butter,rum,heavy cream,white chocolate,sugar]"
Cupcone,"[flour,egg,icing,peanut butter,sugar]"
Brandy snaps,"[flour,golden syrup,peanut butter,heavy cream,ginger,sugar]"
Kreplach,"[flour,egg,water,mashed potato,ground meat]"
Clootie,"[flour,milk,suet,dried fruits,bread crumbs,sugar]"
Cream pie,"[flour,egg,milk,heavy cream]"
Alfajor,"[flour,dulce de leche,honey,hazelnut,almond meal]"
Ham and egg bun,"[flour,egg,ham]"
Halva,"[flour,peanut butter,sugar]"
Lahoh,"[flour,water,salt,baker's yeast,self-raising flour]"
Poppy seed roll,"[flour,egg,milk,poppy seed,peanut butter,walnuts,sour cream,sugar]"
Ravioli,"[flour,egg,water]"
Putri salju,"[flour,egg,powdered sugar,peanut butter]"
Pastry,"[flour,egg,milk,shortening,baking powder,peanut butter,sugar]"
Namak para,"[flour,ghee,cumin,semolina,carom seeds,caraway]"
Muskazine,"[flour,egg,spices,jam,almond meal,sugar]"
Bizcochito,"[flour,cinnamon,peanut butter,lard,anise seed]"
Parker House roll,"[flour,egg,milk,margarine,peanut butter,sugar]"
Hot milk cake,"[flour,egg,milk]"
David Eyre's pancake,"[flour,egg,milk,nutmeg]"
Cumberland Ha'penny Pie,"[flour,egg,peanut butter,sugar]"
Putu mayam,"[flour,water,coconut milk]"
Fruit hat (pudding),"[flour,fruit,peanut butter,suet]"
Hoyha,"[flour,egg,water,spices]"
Kammerjunker (biscuit),"[flour,egg,peanut butter,sugar]"
Pickert,"[flour,egg,milk,potatoes,baker's yeast,oil,raisins,sugar]"
Krispie,"[flour,coconut milk,sugar]"
Pandoro,"[flour,egg,peanut butter,sugar]"
Chuchvara,"[flour,egg,water,pork]"
Ciulama,"[flour,poultry,onions,peanut butter,mushrooms,carrots,parsley root]"
Pişmaniye,"[flour,peanut butter,sugar]"
Aborrajado,"[flour,egg,plantain (cooking),milk,cheddar cheese,sugar]"
Pastisset,"[flour,egg,olive oil,anís (liqueur),muscat (grape and wine)]"
Krumkake,"[flour,egg,peanut butter,heavy cream,sugar]"
Mandazi,"[flour,milk,water,yeast,sugar]"
Corn fritter,"[flour,egg,milk,corn kernels]"
Panettone,"[flour,raisins,candied fruit]"
Polvorón,"[flour,milk,nut (fruit),sugar]"
Phitti,"[flour,water,baker's yeast,peanut butter]"
Kompyang,"[flour,onions,lard]"
Otap (food),"[flour,shortening,coconut milk,sugar]"
Kaasstengels,"[flour,egg,salt,margarine,baking powder,maizena,peanut butter,cheddar cheese,sugar]"
Donauwelle,"[flour,egg,butter cream,peanut butter,cocoa solids,sour cherry,white chocolate,sugar]"
Angel food cake,"[flour,egg,cream of tartar]"
Beer bread,"[flour,baker's yeast,leavening agent,beer,sugar]"
Hornazo,"[flour,egg,pork,chorizo]"
Puff Puff (food),"[flour,egg,water,vegetable oil,peanut butter,yeast,sugar]"
Krotekake,"[flour,water,baker's yeast]"
Cougnou,"[flour,egg,milk,baker's yeast,raisins,sugar]"
Pinca,"[flour,baker's yeast,zest (ingredient),raisins]"
Ensaïmada,"[flour,egg,mother dough,water,sugar]"
Daheen,"[flour,milk,olive oil,syrup,coconut milk,sugar]"
Belekoy,"[flour,sesame seeds,vanilla,sugar]"
Chocolate brownie,"[flour,egg,cocoa powder,peanut butter,white chocolate,sugar]"
Mazurek (cake),"[flour,egg,nut (fruit),margarine,icing,sugar]"
Chocolate chip cookie,"[flour,egg,salt,margarine,vanilla,brown sugar,peanut butter,baking soda,white chocolate,sugar]"
Filhós,"[flour,egg,cinnamon,pumpkin,sugar]"
Boortsog,"[flour,milk,baker's yeast,peanut butter]"
Jemput-jemput,"[flour,maize,prawns,anchovies,onions,saba banana]"
Cavallucci,"[flour,honey,candied fruit,almond meal,anise seed,coriander]"
Parkin (cake),"[flour,molasses,peanut butter,lard,goat meat]"
Qottab,"[flour,vegetable oil,almond meal,cardamom,sugar]"
Genoise,"[flour,egg,sugar]"
Chicken and dumplings,"[flour,shortening,chicken]"
Mi san dao,"[flour,maltose,vegetable oil,baking soda]"
Countess (shortbread),"[flour,egg,water,salt,peanut butter,powdered milk,lard,sugar]"
Prežganka,"[flour,egg,caraway]"
Pastel de choclo,"[egg,beef,black olive,chicken,onions,raisins,sweet corn]"
Consommé,"[egg,tomato sauce,bouillon (broth),ground meat,celery,leek,stock,mirepoix (cuisine)]"
Confit byaldi,"[egg,garlic,herbs,tomato sauce,yellow onion,yellow squash,zucchini,capsicum annuum]"
Pastila,"[egg,honey,fruit,sugar]"
Fruit curd,"[egg,zest (ingredient),raspberry,lime (fruit),orange (fruit),sugar]"
Pisto,"[egg,olive oil,tomato sauce,onions,zucchini,capsicum annuum]"
Suspiro de limeña,"[egg,almond flour,cinnamon,vanilla,meringue,manjar blanco,port wine,sugar]"
Sabich salad,"[egg,tahini,israeli salad,amba (condiment)]"
Ratatouille,"[egg,vegetable,garlic,tomato sauce,onions,marjoram,zucchini,basil,bell peppers]"
Waterzooi,"[egg,fish,broth,chicken,heavy cream]"
St. Paul sandwich,"[egg,tomato sauce,lettuce,pickled cucumber,mayonnaise,white bread,white onion]"
Quindim,"[egg,coconut milk,sugar]"
Tuna casserole,"[egg,peas,tuna]"
Tepsi Baytinijan,"[egg,garlic,potatoes,tomato sauce,onions,meatball]"
Chinese steamed eggs,"[egg,scallions,chicken,dried shrimp]"
Chantilly cake,"[egg,peanut butter,vanilla extract,white chocolate,sugar]"
Queijadinha,"[egg,peanut butter,coconut milk,cheddar cheese,sweetened condensed milk,sugar]"
İmam bayıldı,"[egg,garlic,olive oil,tomato sauce,onions]"
Tabrizi Lovuez,"[egg,almond flour,vanilla,sugar]"
Dahi baigana,"[egg,fenugreek,vegetable oil,ghee,list of edible seeds,yogurt,mustard seed,fennel]"
Custard,"[egg,milk,vanilla,heavy cream,sugar]"
Divinity (confectionery),"[egg,brown sugar,corn syrup,sugar]"
Bacone,"[egg,hash browns,biscuit,gravy,cheddar cheese,bacon]"
Pindjur,"[egg,garlic,salt,vegetable oil,black pepper,tomato sauce,onions,capsicum annuum,sugar]"
Tongue toast,"[egg,beef,onions,brown bread]"
Bandeja paisa,"[egg,plantain (cooking),rice,chorizo,lemon,avocado,ground meat,arepa,black pudding,kidney bean,chicharon,hogao,pork jelly]"
Sayur lodeh,"[egg,vegetable,beef,tempeh,chicken,coconut milk,tofu,long beans,chayote,melinjo]"
Rainbow cookie,"[egg,sponge cake,apricot jam,peanut butter,almond paste,raspberry,sugar]"
Kyopolou,"[egg,garlic,tomato sauce,capsicum annuum,parsley]"
Crab Louie,"[egg,iceberg lettuce,tomato sauce,asparagus,louis dressing]"
Mirza Ghassemi,"[egg,garlic,tomato sauce,turmeric powder]"
Gaz (candy),"[egg,pistachios,almond meal,corn syrup,rose water,sugar]"
Tecula mecula,"[egg,almond meal,sugar]"
